Description,,Summary Amt.
Beginning balance as of 07/30/2026,,"46,539.88"
Total credits,,"8,764.00"
Total debits,,"-54,569.15"
Ending balance as of 08/27/2026,,"734.73"

Date,Description,Amount,Running Bal.
07/30/2026,Beginning balance as of 07/30/2026,,"46,539.88"
07/30/2026,"TARGET CARD SRVC DES:PAYMENT ID:H 406669580 INDN:CARCAMO,LESTER S CO ID:3411721810 WEB","-177.11","46,362.77"
07/31/2026,"CRC SERVICES, LL DES:PAYROLL ID:0207377 INDN:CARCAMO LESTER CO ID:6506940773 PPD","2,104.68","48,467.45"
07/31/2026,"Online Banking transfer to SAV 3435 Confirmation# 1352632314","-45,000.00","3,467.45"
07/31/2026,"SERVICE FINANCE COMPANY Bill Payment","-256.43","3,211.02"
08/03/2026,"BRANCH MESSENGER DES:P2P ID:LESTER CARCAMO INDN:LESTER CARCAMO CO ID:1472085849 WEB","412.81","3,623.83"
08/03/2026,"Transfer LESTER S CARCAMO","300.00","3,923.83"
08/03/2026,"BKOFAMERICA ATM 07/31 #000002147 WITHDRWL OLD TOWN KERN BAKERSFIELD CA","-1,300.00","2,623.83"
08/03/2026,"Pacific Gas & Electric (PG&E) Bill Payment","-415.00","2,208.83"
08/04/2026,"Payfare/Lyft Dir DES:Deposit ID:56-c2fae774bf38 INDN:Lester Carcamo CO ID:9822103357 WEB PMT INFO:Money Transfers from Lester Carcamo","860.57","3,069.40"
08/04/2026,"WELLS FARGO IFI DES:DDA TO DDA ID:F20Z7BHTHS INDN:LESTER CARCAMO CO ID:INTFITRVOS WEB","500.00","3,569.40"
08/05/2026,"Payfare/Lyft Dir DES:Deposit ID:3e-a5bb20ad98b5 INDN:Lester Carcamo CO ID:9822103357 WEB PMT INFO:Money Transfers from Lester Carcamo","200.00","3,769.40"
08/06/2026,"CAPITAL ONE DES:TRANSFER ID:RT09CB29BDF34A3 INDN:Lester Carcamo CO ID:1510394779 WEB","2,200.00","5,969.40"
08/06/2026,"RH BROKERAGE DEPOSIT 08/05 PMNT SENT ROBINHOOD.COM CA","-100.00","5,869.40"
08/06/2026,"Zelle payment to Randi Plumbing for "Final payment for plumbing repairs"; Conf# d1x8f9g2q","-3,380.00","2,489.40"
08/07/2026,"TARGET CARD SRVC DES:PAYMENT ID:H 407835033 INDN:CARCAMO,LESTER S CO ID:7411721810 WEB","-30.00","2,459.40"
08/11/2026,"MAZDA FINANCIAL DES:WEB ID:C4F0661GQLMZ4XR INDN:LESTER CARCAMO CO ID:2953775816 WEB PMT INFO:P07983097-26269","-475.22","1,984.18"
08/13/2026,"AMAZON CORP DES:SYF PAYMNT ID:604578106199988 INDN:CARCAMOLESTER CO ID:9069872103 WEB","-149.65","1,834.53"
08/13/2026,"JPMorgan Chase DES:Ext Trnsfr ID:30375747344 INDN:LESTER S CARCAMO CO ID:9200502231 WEB","-100.00","1,734.53"
08/14/2026,"CRC SERVICES, LL DES:PAYROLL ID:0207377 INDN:CARCAMO LESTER CO ID:6506940773 PPD","2,185.94","3,920.47"
08/14/2026,"DOVENMUEHLE MTG DES:MORTG PYMT ID:1455376291 INDN:LESTER CARCAMO CO ID:1838500000 PPD","-376.12","3,544.35"
08/17/2026,"CITI CARD ONLINE DES:PAYMENT ID:422092968369009 INDN:LESTER S CARCAMO CO ID:CITICTP WEB","-1,546.82","1,997.53"
08/17/2026,"CITI AUTOPAY DES:PAYMENT ID:292092555310225 INDN:LESTER S CARCAMO CO ID:CITICARDAP WEB","-41.00","1,956.53"
08/17/2026,"APPLECARD GSBANK DES:PAYMENT ID:12842494 INDN:Lester Carcamo CO ID:9999999999 WEB","-25.00","1,931.53"
08/18/2026,"NETFLIX COM 08/18 PURCHASE LOS GATOS CA","-26.99","1,904.54"
08/18/2026,"KEEP THE CHANGE TRANSFER TO ACCT 3435 FOR 08/18/26","-0.01","1,904.53"
08/21/2026,"PENTAGON FEDERAL DES:TRNSFR DR ID:000034126322816 INDN:CARCAMO LESTER S CO ID:1530197038 TEL","-530.43","1,374.10"
08/24/2026,"AMAZON CORP DES:SYF PAYMNT ID:604578106199988 INDN:CARCAMOLESTER CO ID:9069872103 WEB","-35.00","1,339.10"
08/26/2026,"AMEX EPAYMENT DES:ACH PMT ID:A7024 INDN:Lester Carcamo CO ID:6133133497 WEB","-604.37","734.73"
